code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank
NMDC,6700,2.5,134000,INDUSTRIALS,MINING/MINER/MET,LARGECAP,42772.19,INDUSTRIALS-17 of 36,NiftyRank-106
PIIND,250,50,7500,INDUSTRIALS,PEST/AGRO-INDIAN,LARGECAP,42515.21,INDUSTRIALS-18 of 36,NiftyRank-108
POLYCAB,300,50,9000,INDUSTRIALS,CABLES-POWER,LARGECAP,40208.13,INDUSTRIALS-19 of 36,NiftyRank-114
AARTIIND,850,20,25500,INDUSTRIALS,CHEMICALS,LARGECAP,39808.38,INDUSTRIALS-20 of 36,NiftyRank-115
DALBHARAT,250,50,10000,INDUSTRIALS,CEMENT-SOUTH IND,LARGECAP,37663.95,INDUSTRIALS-21 of 36,NiftyRank-119
BHARATFORG,750,10,30000,INDUSTRIALS,CASTING &FORGING,LARGECAP,36367.13,INDUSTRIALS-22 of 36,NiftyRank-122
DEEPAKNTR,250,20,10000,INDUSTRIALS,CHEMICALS,LARGECAP,36278.5,INDUSTRIALS-23 of 36,NiftyRank-123
PETRONET,3000,2.5,90000,INDUSTRIALS,MISCELLANEOUS,LARGECAP,33922.5,INDUSTRIALS-24 of 36,NiftyRank-129
IGL,1375,5,41250,INDUSTRIALS,MISCELLANEOUS,LARGECAP,32301.54,INDUSTRIALS-25 of 36,NiftyRank-132
ATUL,75,100,2250,INDUSTRIALS,DYES & PIGMENTS,LARGECAP,31085.78,INDUSTRIALS-26 of 36,NiftyRank-136
JKCEMENT,175,50,7000,INDUSTRIALS,CEMENT-NORTH IND,LARGECAP,26982.85,INDUSTRIALS-27 of 36,NiftyRank-148
TATACHEM,1000,10,20000,INDUSTRIALS,CHEMICALS,LARGECAP,26208.05,INDUSTRIALS-28 of 36,NiftyRank-149
RAMCOCEM,850,10,25500,INDUSTRIALS,CEMENT-SOUTH IND,LARGECAP,23910.43,INDUSTRIALS-29 of 36,NiftyRank-154
COROMANDEL,625,10,25000,INDUSTRIALS,FERTILIZERS,LARGECAP,23062.46,INDUSTRIALS-30 of 36,NiftyRank-156
NAVINFLUOR,225,50,6750,INDUSTRIALS,CHEMICALS,LARGECAP,20801.69,INDUSTRIALS-31 of 36,NiftyRank-164
CHAMBLFERT,1500,10,60000,INDUSTRIALS,FERTILIZERS,MIDCAP,19515.99,INDUSTRIALS-32 of 36,NiftyRank-169
GSPL,1700,5,68000,INDUSTRIALS,MISCELLANEOUS,MIDCAP,17673.92,INDUSTRIALS-33 of 36,NiftyRank-170
MGL,600,10,18000,INDUSTRIALS,MISCELLANEOUS,MIDCAP,8727.51,INDUSTRIALS-34 of 36,NiftyRank-190
INDIACEM,2900,2.5,116000,INDUSTRIALS,CEMENT-SOUTH IND,MIDCAP,7894.63,INDUSTRIALS-35 of 36,NiftyRank-195
GNFC,1300,10,52000,INDUSTRIALS,FERTILIZERS,MIDCAP,7603.86,INDUSTRIALS-36 of 36,NiftyRank-196
ZEEL,3000,5,60000,MEDIA,ENT ETRON MED SW,LARGECAP,30981.43,MEDIA-1 of 4,NiftyRank-137
SUNTV,1500,10,45000,MEDIA,ENT ETRON MED SW,LARGECAP,20384.03,MEDIA-2 of 4,NiftyRank-166
PVR,407,20,12210,MEDIA,ENT ETRON MED SW,MIDCAP,9475.09,MEDIA-3 of 4,NiftyRank-186
DELTACORP,2300,5,92000,MEDIA,MISCELLANEOUS,MIDCAP,7896.57,MEDIA-4 of 4,NiftyRank-194
JSWSTEEL,1350,10,40500,METALS,STEEL - LARGE,LARGECAP,165023.64,METALS-1 of 7,NiftyRank-28
TATASTEEL,425,20,17000,METALS,STEEL - LARGE,LARGECAP,148246.52,METALS-2 of 7,NiftyRank-30
HINDALCO,1075,10,43000,METALS,ALUMIN & AL.PROD,LARGECAP,113782.65,METALS-3 of 7,NiftyRank-41
SAIL,4750,2.5,190000,METALS,STEEL - LARGE,LARGECAP,44692.28,METALS-4 of 7,NiftyRank-97
JINDALSTEL,2500,10,50000,METALS,STEEL -SPONG IRO,LARGECAP,42705.99,METALS-5 of 7,NiftyRank-107
NATIONALUM,8500,2.5,255000,METALS,ALUMIN & AL.PROD,LARGECAP,20854.95,METALS-6 of 7,NiftyRank-162
HINDCOPPER,4300,2.5,172000,METALS,MINING/MINER/MET,MIDCAP,13214.38,METALS-7 of 7,NiftyRank-179
TITAN,375,20,11250,MISCELLANEOUS,DIAMONDCUT/JEWEL,LARGECAP,230180.76,MISCELLANEOUS-1 of 9,NiftyRank-19
POWERGRID,5333,2.5,106660,MISCELLANEOUS,POWER GENERATION,LARGECAP,144915.03,MISCELLANEOUS-2 of 9,NiftyRank-31
NTPC,5700,1,171000,MISCELLANEOUS,POWER GENERATION,LARGECAP,131244.38,MISCELLANEOUS-3 of 9,NiftyRank-34
TATAPOWER,6750,5,135000,MISCELLANEOUS,POWER GENERATION,LARGECAP,78094.1,MISCELLANEOUS-4 of 9,NiftyRank-58
IRCTC,875,20,26250,MISCELLANEOUS,TRAVEL AGENCIES,LARGECAP,72216,MISCELLANEOUS-5 of 9,NiftyRank-66
GUJGASLTD,1250,10,37500,MISCELLANEOUS,MISCELLANEOUS,LARGECAP,48517.74,MISCELLANEOUS-6 of 9,NiftyRank-89
TORNTPOWER,1500,10,45000,MISCELLANEOUS,POWER GENERATION,LARGECAP,27820.5,MISCELLANEOUS-7 of 9,NiftyRank-144
IEX,1250,5,75000,MISCELLANEOUS,MISCELLANEOUS,LARGECAP,23981,MISCELLANEOUS-8 of 9,NiftyRank-153
MCX,350,20,14000,MISCELLANEOUS,MISCELLANEOUS,MIDCAP,8288.76,MISCELLANEOUS-9 of 9,NiftyRank-192
ONGC,7700,2.5,154000,OILS,OIL DRILL/ALLIED,LARGECAP,202605.4,OILS-1 of 1,NiftyRank-24
SUNPHARMA,700,10,28000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,206282.82,PHARMACEUTICALS-1 of 23,NiftyRank-22
DIVISLAB,100,50,4000,PHARMACEUTICALS,PHARM-IND-B DRUG,LARGECAP,122556.22,PHARMACEUTICALS-2 of 23,NiftyRank-38
DRREDDY,125,50,5000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,78027.73,PHARMACEUTICALS-3 of 23,NiftyRank-59
CIPLA,650,10,26000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,74333.13,PHARMACEUTICALS-4 of 23,NiftyRank-63
APOLLOHOSP,125,100,3750,PHARMACEUTICALS,HEALTHCARE,LARGECAP,71519.21,PHARMACEUTICALS-5 of 23,NiftyRank-67
PEL,275,50,8250,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,63077.62,PHARMACEUTICALS-6 of 23,NiftyRank-74
TORNTPHARM,250,50,7500,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,54053.12,PHARMACEUTICALS-7 of 23,NiftyRank-81
CADILAHC,1100,5,44000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,45259.66,PHARMACEUTICALS-8 of 23,NiftyRank-96
ALKEM,200,50,6000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,43343.51,PHARMACEUTICALS-9 of 23,NiftyRank-102
LUPIN,850,10,25500,PHARMACEUTICALS,PHARM-IND-B DRUG,LARGECAP,43230.46,PHARMACEUTICALS-10 of 23,NiftyRank-103
BIOCON,2300,5,69000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,42945.46,PHARMACEUTICALS-11 of 23,NiftyRank-105
AUROPHARMA,750,10,30000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,40731.52,PHARMACEUTICALS-12 of 23,NiftyRank-112
ABBOTINDIA,25,250,1000,PHARMACEUTICALS,PHARM-MNC,LARGECAP,37590.97,PHARMACEUTICALS-13 of 23,NiftyRank-120
LALPATHLAB,125,50,6250,PHARMACEUTICALS,HEALTHCARE,LARGECAP,30315.03,PHARMACEUTICALS-14 of 23,NiftyRank-140
LAURUSLABS,900,10,45000,PHARMACEUTICALS,PHARM-IND-FORMUL,LARGECAP,27988.36,PHARMACEUTICALS-15 of 23,NiftyRank-143
